isotope,mass,abundance
1H,1.00782503223(9),0.999885(70)
2D,2.01410177812(12),0.000115(70)
3T,3.0160492779(24),
3He,3.0160293201(25),0.00000134(3)
4He,4.00260325413(6),0.99999866(3)
6Li,6.0151228874(16),0.0759(4)
7Li,7.0160034366(45),0.9241(4)
10B,10.01293695(41),0.199(7)
11B,11.00930536(45),0.801(7)
12C,12.0000000(00),0.9893(8)
13C,13.00335483507(23),0.0107(8)
14C,14.0032419884(40),
14N,14.00307400443(20),0.99636(20)
15N,15.00010889888(64),0.00364(20)
16O,15.99491461957(17),0.99757(16)
17O,16.99913175650(69),0.00038(1)
18O,17.99915961286(76),0.00205(14)
19F,18.99840316273(92),1
20Ne,19.9924401762(17),0.9048(3)
21Ne,20.993846685(41),0.0027(1)
22Ne,21.991385114(18),0.0925(3)
23Na,22.9897692820(19),1
24Mg,23.985041697(14),0.7899(4)
25Mg,24.985836976(50),0.1000(1)
26Mg,25.982592968(31),0.1101(3)
27Al,26.98153853(11),1
28Si,27.97692653465(44),0.92223(19)
29Si,28.97649466490(52),0.04685(8)
30Si,29.973770136(23),0.03092(11)
31P,30.97376199842(70),1
32S,31.9720711744(14),0.9499(26)
33S,32.9714589098(15),0.0075(2)
34S,33.967867004(47),0.0425(24)
36S,35.96708071(20),0.0001(1)
35Cl,34.968852682(37),0.7576(10)
37Cl,36.965902602(55),0.2424(10)
36Ar,35.967545105(28),0.003336(21)
38Ar,37.96273211(21),0.000629(7)
40Ar,39.9623831237(24),0.996035(25)
39K,38.9637064864(49),0.932581(44)
40K,39.963998166(60),0.000117(1)
41K,40.9618252579(41),0.067302(44)
40Ca,39.962590863(22),39.962590863(22)
42Ca,41.95861783(16),0.00647(23)
43Ca,42.95876644(24),0.00135(10)
44Ca,43.95548156(35),0.02086(110)
46Ca,45.9536890(24),0.00004(3)
48Ca,47.95252276(13),0.00187(21)
46Ti,45.95262772(35),0.0825(3)
47Ti,46.95175879(38),0.0744(2)
48Ti,47.94794198(38),0.7372(3)
49Ti,48.94786568(39),0.0541(2)
50Ti,49.94478689(39),0.0518(2)
50V,49.94715601(95),0.00250(4)
51V,50.94395704(94),0.99750(4)
50Cr,49.94604183(94),0.04345(13)
52Cr,51.94050623(63),0.83789(18)
53Cr,52.94064815(62),0.09501(17)
54Cr,53.93887916(61),0.02365(7)
55Mn,54.93804391(48),1
54Fe,53.93960899(53),0.05845(35)
56Fe,55.93493633(49),0.91754(36)
57Fe,56.93539284(49),0.02119(10)
58Fe,57.93327443(53),0.00282(4)
59Co,58.93319429(56),1
58Ni,57.93534241(52),0.68077(19)
60Ni,59.93078588(52),0.26223(15)
61Ni,60.93105557(52),0.011399(13)
62Ni,61.92834537(55),0.036346(40)
64Ni,63.92796682(58),0.009255(19)
63Cu,62.92959772(56),0.6915(15)
65Cu,64.92778970(71),0.3085(15)
64Zn,63.92914201(71),0.4917(75)
66Zn,65.92603381(94),0.2773(98)
67Zn,66.92712775(96),0.0404(16)
68Zn,67.92484455(98),0.1845(63)
70Zn,69.9253192(21),0.0061(10)
69Ga,68.9255735(13),0.60108(9)
71Ga,70.92470258(87),0.39892(9)
70Ge,69.92424875(90),0.2057(27)
72Ge,71.922075826(81),0.2745(32)
73Ge,72.923458956(61),0.0775(12)
74Ge,73.921177761(13),0.3650(20)
76Ge,75.921402726(19),0.0773(12)
75As,74.92159457(95),1
74Se,73.922475934(15),0.0089(4)
76Se,75.919213704(17),0.0937(29)
77Se,76.919914154(67),0.0763(16)
78Se,77.91730928(20),0.2377(28)
80Se,79.9165218(13),0.4961(41)
82Se,81.9166995(15),0.0873(22)
79Br,78.9183376(14),0.5069(7)
81Br,80.9162897(14),0.4931(7)
78Kr,77.92036494(76),0.00355(3)
80Kr,79.91637808(75),0.02286(10)
82Kr,81.91348273(94),0.11593(31)
83Kr,82.91412716(32),0.11500(19)
84Kr,83.9114977282(44),0.56987(15)
86Kr,85.9106106269(41),0.17279(41)
107Ag,106.9050916(26),0.51839(8)
109Ag,108.9047553(14),0.48161(8)
112Sn,111.90482387(61),0.0097(1)
114Sn,113.9027827(10),0.0066(1)
115Sn,114.903344699(16),0.0034(1)
116Sn,115.90174280(10),0.1454(9)
117Sn,116.90295398(52),0.0768(7)
118Sn,117.90160657(54),0.2422(9)
119Sn,118.90331117(78),0.0859(4)
120Sn,119.90220163(97),0.3258(9)
122Sn,121.9034438(26),0.0463(3)
124Sn,123.9052766(11),0.0579(5)
127I,126.9044719(39),1
124Xe,123.9058920(19),0.000952(3)
126Xe,125.9042983(38),0.000890(2)
128Xe,127.9035310(11),0.019102(8)
129Xe,128.904 780 86(4),0.264 01(138)
130Xe,129.903 509 35(6),0.040 71(22)
131Xe,130.905 084 14(6),0.212 32(51)
132Xe,131.904 155 09(4),0.269 09(55)
134Xe,133.905 393 03(6),0.104 36(35)
136Xe,135.907 214 48(5),0.088 57(72)
211Rn,210.9906011(73),
220Rn,220.0113941(23),
222Rn,222.0175782(25),
