Sample,Total Score
C19H26O2,91.1
C2H5NO,90.8
C20H26N2,92.8
C9H15NO2,91.3
C10H16,90.4
C2H4O,95
C2H3ClO,95.6
C19H22N2O,91.9
C21H21NO6,95.5
C20H26N4O,96.7
C25H29N3O2,96.5
C15H32,90.6
C21H22Cl2N6O,95.6
C27H28Cl4N6,96.4
C12H11N,95
C12H12ClN,90.3
C20H22N8O5,96.5
C22H29ClN2O2,95.9
C18H14F4N2O4S,96.9
C13H9ClN2O3,96.6
C11H11F3N2O3,96.7
C8H11N,97.1
C8H11N,96.6
C14H15N3,96.5
C7H10ClNO,96.7
C7H10ClNO,96.7
C6H6ClN,96.4
C6H7Cl2N,94.9
C14H10O3,97
C20H24ClN,92.1
C15H10O5,96.8
C17H18ClNO2,93.6
C15H22O5,94.2
C12H10N2O,97.6
C14H16N4O,90.5
C15H14N2O,91.1
C22H14,98.2
C13H7Br2N3O6,94.9
C21H38ClN,96.2
C18H8Cl2O3S,92.8
C18H23NO,96.2
C18H20O2,94.4
C12H14N4,96.1
C12H12N2,96.8
C16H14Cl2O3,91.2
C22H28N4O3,96.2
C12H8O,95.8
C13H10O7,99.2
C16H14O6,95.8
C20H12,96.4
C20H12,91.1
C21H14,90.2
C15H19N3O5,98.3
C6Cl4O2,92.9
C13H16N2S2,94.3
C11H12N2OS2,95.1
C14H13N,94.5
C21H21NO6,91
C6H3Br3,91.5
C21H25FN2O2,91.6
C12H11NO2,96.4
C14H9Cl2F3N2O,91.9
C12H9N,95.7
C14H15ClN2,93.2
C15H17N3O,93.2
C6H4Cl2,93.3
C9H8ClN5,94.6
C7H5Cl2NO2,95.3
C10H22N2,90.5
C19H19ClN2,92.7
C9H9N5,94.8
C22H22O5,91.6
C19H23ClN2,90.9
C28H30FN3OS,94.9
C36H42ClN3O6,96
C26H30ClN3O6,96.4
C19H20N2O7,95
C28H32ClN3O6,93.1
C10H12N2O5,94.8
C12H8O2,91.6
C20H14O2S2,93.2
C32H40BrN5O5,98.3
C28H32O15,91.2
C20H12,91.8
